keyword,case_understanding,relevant_laws,important_rule,what_is_illegal,step1_title,step1_desc,step2_title,step2_desc,step3_title,step3_desc,step4_title,step4_desc,when_serious,if_serious
salary unpaid|not been paid|delayed salary payment,Employer has not paid salary for a long period.,Labour Laws,Salary must be paid regularly.,Non-payment of salary is illegal.,Collect Proof,Keep salary records.,Contact Employer,Raise issue.,Send Notice,Formal warning.,File Complaint,Labour office.,Long delay,Contact lawyer.
fake account|impersonation|fake profile|instagram fake|account misuse|photos misuse,Someone created a fake social media account using your identity or photos.,Information Technology Act 2000|IPC Sections 419 & 500,No one can use your identity or photos without permission.,Creating fake profiles or impersonating someone is illegal.,Take Screenshots,Capture profile URL and posts.,Report Account,Use platform impersonation report.,File Complaint,Report on cybercrime.gov.in.,Secure Account,Change passwords.,Used for fraud,Contact cyber police.
refund|not refunded|money not returned|double payment|payment issue,Refund or payment issue after transaction.,Consumer Protection Act 2019,Refund must be processed timely.,Delaying refund is unfair practice.,Collect Proof,Keep receipts.,Contact Company,Request refund.,Follow Up,Send reminder.,File Complaint,Consumer forum.,High amount,Contact lawyer.
wrong item|different product|wrong delivery|blinkit wrong|amazon wrong|flipkart wrong,Wrong product delivered instead of ordered.,Consumer Protection Act 2019,Product must match description.,Delivering wrong item is unfair.,Take Photos,Capture wrong item.,Contact Seller,Request replacement.,Raise Return,Use return option.,File Complaint,Consumer forum.,High value,Contact lawyer.
defective|damaged|faulty|broken|not working product,Product received is damaged or defective.,Consumer Protection Act 2019,Product must be defect-free.,Selling defective goods is illegal.,Take Photos,Document defect.,Contact Seller,Request replacement.,Raise Return,Use return policy.,File Complaint,Consumer forum.,Repeated issue,Contact lawyer.
delivery delay|not delivered|missing items|late delivery|order not received|courier issue,Product or service not delivered properly.,Consumer Protection Act 2019,Delivery must be completed.,Non-delivery is unfair.,Track Order,Check status.,Contact Support,Report issue.,Request Refund,If needed.,File Complaint,Consumer forum.,High value,Contact lawyer.
fake product|duplicate product|meesho fake,Received fake or duplicate product.,Consumer Protection Act 2019,Product must be genuine.,Selling fake goods is illegal.,Take Photos,Document product.,Contact Seller,Ask replacement.,Report,Platform complaint.,File Complaint,Consumer forum.,Brand issue,Contact lawyer.
billing issue|extra charges|wrong bill|overcharged|bank charges,Billing or extra charge issue.,Consumer Protection Act 2019,Charges must be transparent.,Hidden charges are illegal.,Check Bill,Verify charges.,Contact Provider,Report issue.,Escalate,Ask correction.,File Complaint,Consumer forum.,High amount,Contact lawyer.
certificate|mark sheet|degree|bonafide|migration|character certificate|tc not issued,Institute not issuing certificates or documents.,Education Laws,Institutes must provide documents.,Withholding documents is illegal.,Collect Proof,Keep receipts.,Send Request,Email institute.,Follow Up,Reminder.,File Complaint,Education board.,Urgent need,Contact lawyer.
exam result|wrong result|marks incorrect|result error,Incorrect exam result declared.,Education Laws,Results must be accurate.,Wrong result harms student rights.,Collect Proof,Keep mark sheets.,Contact Institute,Request correction.,Apply Recheck,Official process.,File Complaint,Education board.,Career impact,Contact lawyer.
admission denied|college admission rejected|unfair admission|seat denied,Admission refused without valid reason.,Education Laws,Admission must be fair.,Unfair rejection is illegal.,Ask Reason,Get written reason.,Contact Authority,Reach higher authority.,File Complaint,Education dept.,Discrimination,Contact lawyer.
fees not refunded|hostel fees|caution deposit|course refund,Institute not refunding fees.,Education Laws,Refund policies must be followed.,Non-refund is unfair.,Collect Proof,Keep payment records.,Contact Institute,Request refund.,Follow Up,Reminder.,File Complaint,Authority.,High amount,Contact lawyer.
experience certificate|relieving letter|experience letter,Employer not providing experience documents.,Labour Laws,Employer must provide documents.,Refusal affects career.,Send Request,Email HR.,Follow Up,Reminder.,File Complaint,Labour office.,Repeated refusal,Contact lawyer.
appointment letter|id card not given,Employer not providing joining documents.,Labour Laws,Employee has right to documents.,Not issuing is violation.,Send Request,Email HR.,Follow Up,Reminder.,File Complaint,Labour dept.,Repeated issue,Contact lawyer.
salary issue|bonus|allowance|not paid|reimbursement|salary slip|form 16,Employer not paying salary or benefits.,Labour Laws,Salary must be paid on time.,Non-payment is illegal.,Collect Proof,Keep records.,Contact HR,Raise issue.,Follow Up,Reminder.,File Complaint,Labour office.,High amount,Contact lawyer.
overtime|extra work|forced overtime|no overtime pay,Employee forced to work overtime without pay.,Labour Laws,Overtime must be paid.,Unpaid work is illegal.,Collect Proof,Work records.,Contact HR,Raise issue.,Follow Up,Reminder.,File Complaint,Labour office.,Repeated abuse,Contact lawyer.
termination|fired|job loss|terminated without notice,Employee terminated without proper notice.,Labour Laws,Notice period required.,Illegal termination punishable.,Collect Proof,Offer letter.,Contact HR,Clarify reason.,Send Notice,Formal complaint.,File Complaint,Labour court.,Unfair dismissal,Contact lawyer.
leave issue|no leave|weekly off not given,Employee not given leave rights.,Labour Laws,Leave is employee right.,Denying leave unfairly is violation.,Check Policy,Review rules.,Talk HR,Request leave.,Escalate,Manager complaint.,File Complaint,Labour office.,Repeated denial,Contact lawyer.
company not responding|hr not responding|no reply,Company not responding to complaint.,Consumer Protection Act 2019,Company must respond.,Ignoring complaint is deficiency.,Send Reminder,Follow up.,Escalate,Grievance officer.,File Complaint,Consumer helpline.,Repeated ignore,Contact lawyer.
legal compliance|company violation|regulation violation|company illegal activity,Company not following legal regulations.,Business Law,Companies must follow law.,Violation is punishable.,Collect Proof,Document issue.,Report Authority,Regulatory body.,Follow Up,Check action.,File Complaint,Legal authority.,Serious breach,Contact lawyer.
contract issue|freelancer not paid|agreement issue,Contract or payment dispute.,Contract Law,Agreement must be honored.,Breaking contract is illegal.,Collect Proof,Keep agreement.,Contact Party,Resolve.,Send Notice,Formal warning.,File Complaint,Court.,High amount,Contact lawyer.
rent issue|rent increased|deposit not returned|tenant issue,Landlord or tenant dispute.,Rent Control Act,Agreement must be followed.,Unfair rent practices illegal.,Check Agreement,Review terms.,Contact Landlord,Discuss.,Follow Up,Reminder.,File Complaint,Rent authority.,Forced eviction,Contact lawyer.
maintenance issue|repair|leak|broken|plumbing|roof|window,Landlord not maintaining property.,Rent Control Act,Landlord must maintain property.,Ignoring repairs is unfair.,Take Photos,Document issue.,Inform Landlord,Write complaint.,Follow Up,Reminder.,File Complaint,Rent authority.,Unsafe condition,Contact lawyer.
noise|neighbor|parking|garbage|disturbance|terrace issue,Neighbor causing disturbance.,Local Laws,Peaceful living is right.,Disturbance is nuisance.,Talk First,Resolve calmly.,Complain,To society.,Escalate,Authority.,File Complaint,Police.,Harassment,Contact lawyer.
domestic issue|family dispute|house conflict|marriage conflict,Family or domestic dispute.,Family Law,Peaceful resolution preferred.,Harassment or abuse illegal.,Talk First,Resolve calmly.,Seek Mediation,Family elders.,Consult Counselor,If needed.,File Complaint,Police.,Violence,Contact lawyer.
property fraud|forged documents|fake property papers|property scam,Property documents are forged or fraudulent.,Property Law,Ownership must be genuine.,Forgery is illegal.,Collect Proof,Keep documents.,Verify Records,Check registry.,Report,Police complaint.,File Case,Court.,High value,Contact lawyer.
document not returned|original documents,Documents not returned after use.,General Law,Documents must be returned.,Holding documents is illegal.,Request Return,Ask politely.,Send Notice,Written request.,Follow Up,Reminder.,File Complaint,Authority.,Important docs,Contact lawyer.
phishing|spam|fake message|otp|bank fraud message,Suspicious message or phishing attempt.,IT Act 2000,Never share sensitive data.,Fraud attempt is illegal.,Do Not Click,Avoid links.,Report,Bank/cyber cell.,Change Password,Secure account.,Monitor,Check transactions.,Money lost,Contact cyber police.
